genome_id,SIR
562.28434,1
562.28389,0
562.28982,0
562.37109,0
562.42634,1
562.30308,1
562.42636,0
562.42841,1
562.4284,0
562.42839,0
562.42838,0
562.42837,0
562.42836,1
562.42835,0
562.42834,1
562.42833,1
562.42832,1
562.42831,1
562.4283,0
562.42829,0
562.42828,0
562.42827,0
562.42826,0
562.42825,0
562.42824,1
562.42823,1
562.42842,0
562.42822,1
562.42843,1
562.42845,0
562.42865,1
562.42863,1
562.42862,1
562.42861,0
562.4286,0
562.42859,0
562.42858,1
562.42857,0
562.42856,0
562.42855,1
562.42854,0
562.42853,1
562.42852,1
562.42851,0
562.4285,1
562.42849,1
562.42848,1
562.42847,1
562.42846,0
562.42844,0
562.42867,1
562.42821,1
562.42819,1
562.42792,1
562.42791,1
562.4279,0
562.42789,1
562.42788,1
562.42787,1
562.42786,0
562.42785,0
562.42784,0
562.42783,1
562.42782,0
562.42781,0
562.4278,0
562.42635,1
562.42778,1
562.42777,1
562.42776,1
562.42775,1
562.42774,1
562.42794,0
562.4282,1
562.42796,0
562.42799,1
562.42818,1
562.42817,1
562.42816,1
562.42815,0
562.42814,0
562.42813,1
562.42812,1
562.42811,0
562.4281,1
562.42809,0
562.42808,1
562.42807,1
562.42806,1
562.42805,1
562.42804,1
562.42803,1
562.42802,1
562.42801,1
562.428,1
562.42797,1
562.42868,1
562.42869,1
562.4287,1
562.45638,1
562.45637,0
562.45636,0
562.45635,1
562.45634,1
562.45633,0
562.45632,1
562.45631,1
562.4563,1
562.45629,1
562.45628,0
562.45627,0
562.45626,0
562.45625,1
562.45624,1
562.45623,0
562.45622,1
562.45621,1
562.4562,0
562.45639,1
562.45619,1
562.4564,1
562.45642,1
562.45661,0
562.4566,0
562.45659,1
562.45658,1
562.45657,1
562.45656,0
562.45655,1
562.45654,1
562.45653,1
562.45652,0
562.45651,0
562.4565,1
562.45649,0
562.45648,0
562.45647,1
562.45646,0
562.45645,1
562.45644,1
562.45643,1
562.45641,0
562.45618,1
562.45617,0
562.45616,0
562.45591,1
562.4559,0
562.45589,1
562.45588,1
562.45587,1
562.45585,1
562.45404,1
562.45403,0
562.45401,1
562.454,1
562.45399,0
562.45398,0
562.45397,1
562.45396,1
562.45395,1
562.45394,1
562.42873,1
562.42872,1
562.42871,0
562.45592,0
562.45593,0
562.45594,1
562.45595,1
562.45615,1
562.45614,1
562.45613,1
562.45612,1
562.45611,0
562.4561,1
562.45609,1
562.45608,1
562.45607,0
562.42773,1
562.45606,1
562.45604,1
562.45603,1
562.45602,1
562.45601,1
562.456,1
562.45599,1
562.45598,1
562.45597,1
562.45596,1
562.45605,1
562.42772,1
562.42779,1
562.4277,1
562.42693,0
562.42691,1
562.4269,1
562.42689,1
562.42688,0
562.42686,1
562.42685,1
562.42683,0
562.42682,0
562.42681,1
562.4268,0
562.42679,1
562.42678,1
562.42677,0
562.42676,1
562.42694,1
562.42675,0
562.42695,0
562.42697,1
562.42713,1
562.42712,1
562.42711,1
562.4271,1
562.42708,0
562.42707,0
562.42706,1
562.42771,1
562.42704,1
562.42703,1
562.42702,0
562.42701,0
562.427,1
562.42699,0
562.42698,1
562.42696,0
562.42715,0
562.42674,0
562.42672,0
562.42652,1
562.42651,1
562.4265,1
562.42649,1
562.42648,1
562.42647,1
562.42646,0
562.42645,1
562.42644,1
562.42643,0
562.42641,1
562.4264,0
562.42639,1
562.42638,1
562.42637,0
562.42653,1
562.42673,1
562.42654,1
562.42656,0
562.42671,0
562.4267,0
562.42669,0
562.42668,1
562.42667,0
562.42666,0
562.42665,1
562.42664,1
562.42663,1
562.42662,1
562.42661,0
562.4266,1
562.42659,1
562.42658,1
562.42657,1
562.42655,1
562.42716,1
562.42705,1
562.42751,1
562.4275,0
562.42749,1
562.42748,0
562.42747,1
562.42745,1
562.42744,1
562.42743,0
562.42742,0
562.42741,1
562.42752,1
562.4274,0
562.42738,0
562.42737,0
562.42736,0
562.42735,1
562.42733,0
562.42732,0
562.42731,0
562.4273,1
562.42729,1
562.42717,1
562.42739,1
562.42753,1
562.42746,1
562.42727,1
562.42769,1
562.42767,0
562.42766,1
562.42765,1
562.42764,1
562.42728,0
562.42762,1
562.42761,0
562.42759,1
562.42758,0
562.42757,1
562.42756,1
562.42763,1
562.42755,1
562.42754,0
562.42718,0
562.42719,1
562.4272,0
562.42721,0
562.42723,0
562.42724,1
562.42725,1
562.42726,1
